iter	Passed	Remaining
0	581	57571
1	1011	49540
2	1442	46646
3	1892	45430
4	2330	44275
5	2761	43261
6	3218	42761
7	3664	42143
8	4092	41377
9	4528	40753
10	4978	40279
11	5437	39872
12	5884	39380
13	6319	38819
14	6766	38342
15	7179	37694
16	7606	37139
17	8041	36635
18	8477	36139
19	8918	35672
20	9346	35158
21	9764	34618
22	10208	34177
23	10613	33608
24	11069	33209
25	11525	32802
26	11948	32305
27	12365	31795
28	12796	31328
29	13226	30860
30	13646	30375
31	14067	29893
32	14484	29407
33	14909	28941
34	15340	28489
35	15740	27983
36	16156	27509
37	16586	27062
38	17009	26604
39	17420	26131
40	17855	25693
41	18267	25227
42	18684	24768
43	19096	24304
44	19514	23850
45	19940	23408
46	20355	22953
47	20762	22492
48	21193	22059
49	21612	21612
50	22033	21169
51	22445	20719
52	22869	20280
53	23304	19852
54	23736	19421
55	24174	18994
56	24586	18547
57	25003	18106
58	25416	17662
59	25838	17225
60	26250	16782
61	26685	16355
62	27118	15926
63	27545	15494
64	27957	15053
65	28369	14614
66	28789	14179
67	29222	13751
68	29655	13323
69	30114	12906
70	30525	12468
71	30948	12035
72	31342	11592
73	31762	11159
74	32176	10725
75	32581	10288
76	33009	9859
77	33455	9436
78	33886	9007
79	34309	8577
80	34723	8145
81	35143	7714
82	35579	7287
83	36024	6861
84	36446	6431
85	36872	6002
86	37296	5573
87	37693	5139
88	38107	4709
89	38525	4280
90	38954	3852
91	39390	3425
92	39811	2996
93	40230	2567
94	40652	2139
95	41065	1711
96	41511	1283
97	41953	856
98	42394	428
99	42828	0
